NR_CONVENIO;ANO;UNID RESP;MODALIDADE;RP;VINCULAÇÃO;C / D;DESCRIÇÃO RP;AUTOR;PROPOSTA;PROCESSO;CNPJ;PROPONENTES;UF;SITUACAO;SITUACAO DE CONTRATACAO ATUAL;EMPENHADO;PUBLICACAO;OBJETO;CATEGORIA; VL_GLOBAL_CONV; VL_REPASSE_CONV; VL_CONTRAPARTIDA_CONV;DIA_INIC_VIGENC_CONV;DIA_FIM_VIGENC_CONV;DIA_LIMITE_PREST_CONTAS;SUB_ROGACAO;ESTADO;NR_EMENDA;NOME_PARLAMENTAR;BENEFICIARIO_EMENDA;IND_IMPOSITIVO;TIPO_PARLAMENTAR; VALOR_REPASSE_PROPOSTA_EMENDA; VALOR_REPASSE_EMENDA
882888;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;VITOR LIPPI / EMENDA 2;001607/2019;21000.015516/2019-47;46.634.366/0001-13;MUNICIPIO DE RIBEIRAO BRANCO;SP;Prestação de Contas enviada para Análise;Em execução;Normal;sim;"AQUISIÇÃO DE INSUMOS PARA CORREÇÃO DO SOLO: CALCÁRIO DOLOMÍTICO; CALCÁRIO CALCÍTICO.";INSUMOS; 107.622,67 ; 100.000,00 ; 7.622,67 ;22/8/2019;19/1/2024;18/2/2024;NÃO;São Paulo;37770002;VITOR LIPPI;0;SIM;INDIVIDUAL;100000;100000
882941;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;BOHN GASS / EMENDA 6;000856/2019;21000.015572/2019-81;08.833.997/0001-72;UNIAO DAS COOPERATIVAS DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA DOS ESTADO DO RIO GRANDE DO SUL-;RS;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;Articular o cooperativismo da agricultura familiar e economia solidária no Rio Grande do Sul, visando o desenvolvimento sustentável e a educação cooperativista.;CAPACITAÇÃO; 450.000,00 ; 450.000,00 ; -   ;31/12/2019;9/4/2022;8/6/2022;NÃO;Rio Grande do Sul;28620006;BOHN GASS;0;SIM;INDIVIDUAL;450000;450000
882957;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ANTONIO JACOME / EMENDA 1;004492/2019;21000.015524/2019-93;04.256.238/0001-33;SERVICO NACIONAL DE APRENDIZAGEM RURAL SENAR AR/RN;RN;Em execução;Em execução;Normal;sim;O Projeto de Unidade Didática de Produção Intensiva Vegetal II implantará quatro unidades, uma no município de Pau dos Ferros, uma no município de Florania, uma no município de Jucurutu e uma no município de São Paulo do Potengi/RN, após implantação, ocor;CAPACITAÇÃO; 613.000,00 ; 600.000,00 ; 13.000,00 ;12/9/2019;19/10/2023;18/11/2023;NÃO;Rio Grande do Norte;30490001;ANTONIO JACOME;0;SIM;INDIVIDUAL;600000;600000
882964;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;DANIEL COELHO / EMENDA 1;005722/2019;21000.015577/2019-12;07.183.321/0001-18;ASSOCIACAO FILANTROPICA, RECREATIVA, EDUCACIONAL, CULTURAL, CIENTIFICA E PROFISSIONALIZANTE CAMARA;PE;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Apoio a realização da exposição agropecuária em Maracaípe, no Município de Ipojuca/PE;EVENTO; 175.000,00 ; 175.000,00 ; -   ;31/12/2019;25/5/2021;24/7/2021;NÃO;Pernambuco;30800001;DANIEL COELHO;0;SIM;INDIVIDUAL;350000;175000
882965;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;DANIEL COELHO / EMENDA 1;000808/2019;21000.015580/2019-28;07.183.321/0001-18;ASSOCIACAO FILANTROPICA, RECREATIVA, EDUCACIONAL, CULTURAL, CIENTIFICA E PROFISSIONALIZANTE CAMARA;PE;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Apoio a realização da exposição agropecuária no Município de Camaragibe/PE.;EVENTO; 175.000,00 ; 175.000,00 ; -   ;31/12/2019;31/12/2021;1/3/2022;NÃO;Pernambuco;30800001;DANIEL COELHO;0;SIM;INDIVIDUAL;350000;175000
882967;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;KATIA ABREU / EMENDA 5;004043/2019;21000.015539/2019-51;25.092.230/0001-59;FEDERACAO DA AGRICULTURA E PECUARIA DO ESTADO DO TOCANTINS;TO;Em execução;Em execução;Normal;sim;Apoio a realização de feiras agropecuárias em diversos Municípios do Estado do Tocantins-To.;EVENTO; 503.000,00 ; 500.000,00 ; 3.000,00 ;31/12/2019;27/10/2023;26/12/2023;NÃO;Tocantins;23590005;KATIA ABREU;0;SIM;INDIVIDUAL;500000;500000
882978;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ASSIS DO COUTO / EMENDA 24;002304/2019;21000.015574/2019-71;07.864.244/0001-61;UNIAO DE COOPERATIVAS DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA DO ESTADO DO PARANA;PR;Em execução;Em execução;Normal;sim;Fortalecer a interação e sinergia as cooperativas da Agricultura Familiar do Paraná, através da construção de estratégias unificadas de produção, organização, gestão, agroindustrialização e comercialização.;CAPACITAÇÃO; 1.020.000,00 ; 1.000.000,00 ; 20.000,00 ;16/8/2019;30/4/2023;30/5/2023;NÃO;Paraná;19630024;ASSIS DO COUTO;0;SIM;INDIVIDUAL;1000000;1000000
882980;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;REGINALDO LOPES / EMENDA 6;004987/2019;21000.015536/2019-18;18.104.789/0001-96;UNIAO DAS COOPERATIVAS DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA DE MINAS GERAIS;MG;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;Fortalecer o Cooperativismo da Agricultura Familiar e Economia Solidária de Minas Gerais com a estruturação de Bases de Serviços Cooperativistas – BSC que prestem serviços de assessoramento as Cooperativas promovendo maior viabilidade organizacional com e;CAPACITAÇÃO; 250.000,00 ; 250.000,00 ; -   ;16/8/2019;30/8/2022;29/10/2022;NÃO;Minas Gerais;14110006;REGINALDO LOPES;0;SIM;INDIVIDUAL;250000;250000
883038;2019;COPI;Termo de Fomento;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;AFONSO HAMM / EMENDA 1;002096/2019;21000.015534/2019-29;92.238.096/0001-49;ASSOCIACAO BRASILEIRA DE CRIADORES DE CAVALOS CRIOULOS;RS;Convênio Anulado;Convênio Anulado;Normal;sim;Realização de exposição agropecuária com provas funcionais do Cavalo Crioulo, nas modalidades: Ranch Sorting, Movimiento a La Rienda, Freio do Proprietário e Campereada-Team Penning, a ser realizada em Esteio no Estado do Rio Grande do Sul.;EVENTO; 100.000,00 ; 100.000,00 ; -   ;12/9/2019;12/2/2020;13/3/2020;NÃO;Rio Grande do Sul;20980001;AFONSO HAMM;0;SIM;INDIVIDUAL;100000;100000
883281;2019;COPI;Convênio;2;400;C;PRIMARIO DISCRICIONARIO;SEM EMENDA;011506/2019;21000.031381/2019-67;91.693.283/0001-50;MUNICIPIO DE HARMONIA;RS;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Realização da 9ª Früchtefest - Festa das Frutas Cítricas.;EVENTO; 201.173,00 ; 200.000,00 ; 1.173,00 ;12/7/2019;12/11/2019;11/1/2020;NÃO;Rio Grande do Sul;;;;;;;
883520;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;DOMINGOS SAVIO / EMENDA 4;005496/2019;21000.015474/2019-44;18.312.983/0001-67;MUNICIPIO DE CARMOPOLIS DE MINAS;MG;Prestação de Contas em Análise;Prestação de Contas em Análise;Normal;sim;AQUISIÇÃO DE ADUBOS FERTILIZANTES;INSUMOS; 125.200,00 ; 125.000,00 ; 200,00 ;31/12/2019;10/11/2021;9/1/2022;NÃO;Minas Gerais;27560004;DOMINGOS SAVIO;0;SIM;INDIVIDUAL;125000;125000
883584;2019;COPI;Convênio;2;400;C;PRIMARIO DISCRICIONARIO;SEM EMENDA;032592/2019;21000.047602/2019-19;03.452.299/0001-03;MUNICIPIO DE AQUIDAUANA;MS;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Apoio a Realização da 52ª Expoaqui - Exposição Agropecuária de Aquidauana.;EVENTO; 101.000,00 ; 100.000,00 ; 1.000,00 ;6/8/2019;6/12/2019;5/1/2020;NÃO;Mato Grosso do Sul;;;;;;;
883674;2019;COPI;Convênio;2;400;C;PRIMARIO DISCRICIONARIO;SEM EMENDA;032027/2019;21000.047846/2019-00;09.074.113/0001-06;MUNICIPIO DE PRATA;PB;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Apoio à Realização da 7ª EXPOPRATA - Exposição de Caprinos e Ovinos, no município de Prata/PB.;EVENTO; 210.900,00 ; 200.000,00 ; 10.900,00 ;13/8/2019;13/2/2020;14/3/2020;NÃO;Paraíba;;;;;;;
883922;2019;COPI;Convênio;2;400;C;PRIMARIO DISCRICIONARIO;SEM EMENDA;034716/2019;21000.047889/2019-87;82.939.406/0001-07;MUNICIPIO DE CAPINZAL;SC;Prestação de Contas Comprovada em Análise;Prestação de Contas Comprovada em Análise;Normal;sim;Aquisição de insumo para apoio à produção rural dos agricultores familiares.;INSUMOS; 100.000,00 ; 95.500,00 ; 4.500,00 ;30/12/2019;12/6/2022;11/8/2022;NÃO;Santa Catarina;;;;;;;
883924;2019;COPI;Termo de Fomento;2;400;C;PRIMARIO DISCRICIONARIO;SEM EMENDA;033342/2019;21000.049547/2019-00;17.919.366/0001-61;SINDICATO RURAL DE PASSA QUATRO;MG;Prestação de Contas Concluída;Prestação de Contas Concluída;Normal;sim;Aquisição de Insumos(Adubo), para atendimento aos pequenos produtores de Passa Quatro – MG;INSUMOS; 238.750,00 ; 238.750,00 ; -   ;31/12/2019;22/12/2021;20/2/2022;NÃO;Minas Gerais;;;;;;;
884041;2019;COPI;Convênio;6;405;C;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ZE SILVA / EMENDA 2;004868/2019;21000.015514/2019-58;18.140.772/0001-94;MUNICIPIO DE PERDIZES;MG;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;Aquisição e transporte de calcario;ESTRADAS VICINAIS; 110.000,00 ; 100.000,00 ; 10.000,00 ;12/12/2019;17/1/2024;17/3/2024;NÃO;Minas Gerais;27690002;ZE SILVA;0;SIM;INDIVIDUAL;100000;100000
884042;2019;COPI;Convênio;2;400;C;PRIMARIO DISCRICIONARIO;SEM EMENDA;038197/2019;21000.053552/2019-17;18.158.642/0001-89;MUNICIPIO DE IRAI DE MINAS;MG;Em execução;Em execução;Normal;sim;Aquisição de calcário dolomítico.;INSUMOS; 100.000,00 ; 95.500,00 ; 4.500,00 ;31/12/2019;1/4/2023;31/5/2023;NÃO;Minas Gerais;;;;;;;
884106;2019;COPI;Convênio;2;400;C;PRIMARIO DISCRICIONARIO;SEM EMENDA;036760/2019;21000.057755/2019-74;83.021.808/0001-82;MUNICIPIO DE CHAPECO;SC;Prestação de Contas em Análise;Prestação de Contas enviada para Análise;Normal;sim;Aquisição de sementes para pastagens de inverno destinadas a pequenos agricultores familiares do Município de Chapecó-SC.;INSUMOS; 487.500,29 ; 477.500,00 ; 10.000,29 ;30/12/2019;30/12/2021;28/2/2022;NÃO;Santa Catarina;;;;;;;
884213;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;JULIO CESAR / EMENDA 5;003262/2019;21000.051654/2019-90;01.612.582/0001-20;MUNICIPIO DE JUAZEIRO DO PIAUI;PI;Aguardando Prestação de Contas;Aguardando Prestação de Contas;Normal;sim;AQUISIÇÃO DE PATRULHA AGRÍCOLA MECANIZADA.;MÁQUINAS E EQUIPAMENTOS; 174.762,50 ; 172.500,00 ; 2.262,50 ;31/12/2019;30/4/2021;29/6/2021;NÃO;Piauí;12460005;JULIO CESAR;0;SIM;INDIVIDUAL;172500;172500
884214;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;JULIO CESAR / EMENDA 5;001124/2019;21000.051663/2019-81;06.728.240/0001-93;MUNICIPIO DE RIBEIRO GONCALVES;PI;Prestação de Contas em Complementação;Prestação de Contas em Complementação;Normal;sim;AQUISIÇÃO DE PATRULHA AGRÍCOLA MECANIZADA;MÁQUINAS E EQUIPAMENTOS; 173.762,50 ; 172.500,00 ; 1.262,50 ;31/12/2019;31/12/2021;1/3/2022;Lote 3;Piauí;12460005;JULIO CESAR;0;SIM;INDIVIDUAL;172500;172500
884215;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;FLAVIANO MELO / EMENDA 10;001229/2019;21000.048728/2019-19;84.306.604/0001-50;MUNICIPIO DE CAPIXABA;AC;Prestação de Contas Iniciada Por Antecipação;Prestação de Contas Iniciada Por Antecipação;Normal;sim;AQUISIÇÃO DE MAQUINAS E EQUIPAMENTOS AGRÍCOLAS.;MÁQUINAS E EQUIPAMENTOS; 350.500,00 ; 350.000,00 ; 500,00 ;31/12/2019;31/12/2022;1/3/2023;Lote 3;Acre;24240010;FLAVIANO MELO;0;SIM;INDIVIDUAL;350000;350000
884216;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ROSE DE FREITAS / EMENDA 1;000485/2019;21000.050091/2019-12;27.142.694/0001-58;MUNICIPIO DE ANCHIETA;ES;Prestação de Contas enviada para Análise;Em execução;Normal;sim;Aquisição de uma retro escavadeira para fortalecer o Programa de Mecanização Agrícola, Estrada e Escoamento da Produção(PROMAEPA) e atender os agricultores familiares dos 5 setores do município.;MÁQUINAS E EQUIPAMENTOS; 500.000,00 ; 250.000,00 ; 250.000,00 ;31/12/2019;31/12/2022;1/3/2023;Lote 6;Espírito Santo;38010001;ROSE DE FREITAS;0;SIM;INDIVIDUAL;250000;250000
884217;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ROSE DE FREITAS / EMENDA 1;000491/2019;21000.050094/2019-56;27.165.570/0001-98;MUNICIPIO DE CONCEICAO DO CASTELO;ES;Prestação de Contas em Análise;Prestação de Contas em Análise;Normal;sim;Aquisição de Trator Agrícola para atender os agricultores familiares do município de Conceição do Castelo - ES.;MÁQUINAS E EQUIPAMENTOS; 203.883,33 ; 150.000,00 ; 53.883,33 ;31/12/2019;30/4/2021;29/6/2021;NÃO;Espírito Santo;38010001;ROSE DE FREITAS;0;SIM;INDIVIDUAL;150000;150000
884218;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ROSE DE FREITAS / EMENDA 1;001963/2019;21000.050217/2019-59;27.167.451/0001-74;MUNICIPIO DE ITAGUACU;ES;Convênio Anulado;Convênio Anulado;Normal;não;Aquisição de Motoniveladora para utilização em obras de construção, recuperação de estradas vicinais para atendimento aos produtores e agricultores do Município de Itaguaçu-ES.;MÁQUINAS E EQUIPAMENTOS; 500.000,00 ; 477.500,00 ; 22.500,00 ;31/12/2019;30/6/2022;29/8/2022;Lote 6;Espírito Santo;38010001;ROSE DE FREITAS;0;SIM;INDIVIDUAL;500000;477500
884241;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;VALDIR COLATTO / EMENDA 1;001413/2019;21000.050377/2019-06;82.777.236/0001-01;MUNICIPIO DE PONTE SERRADA;SC;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;FOMENTO AO SETOR AGROPECUÁRIO COM AQUISIÇÃO DE VEÍCULO E EQUIPAMENTOS;MÁQUINAS E EQUIPAMENTOS; 138.390,00 ; 100.000,00 ; 38.390,00 ;31/12/2019;30/6/2022;29/8/2022;NÃO;Santa Catarina;10630001;VALDIR COLATTO;0;SIM;INDIVIDUAL;100000;100000
884243;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ZENAIDE MAIA / EMENDA 2;004213/2019;21000.049110/2019-68;08.110.991/0001-77;MUNICIPIO DE GALINHOS;RN;Prestação de Contas em Análise;Prestação de Contas enviada para Análise;Normal;sim;AQUISIÇÃO DE TRATOR AGRÍCOLA COM IMPLEMENTOS.;MÁQUINAS E EQUIPAMENTOS; 218.012,68 ; 200.000,00 ; 18.012,68 ;31/12/2019;27/5/2022;26/7/2022;Lote 6;Rio Grande do Norte;37840002;ZENAIDE MAIA;0;SIM;INDIVIDUAL;200000;200000
884244;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ZENAIDE MAIA / EMENDA 2;000533/2019;21000.049112/2019-57;08.309.239/0001-50;MUNICIPIO DE JANDAIRA;RN;Em execução;Em execução;Normal;sim;AQUISIÇÃO DE UM TRATOR AGRÍCOLA DESTINADO AO MUNICIPIO DE JANDAÍRA/RN;MÁQUINAS E EQUIPAMENTOS; 141.000,00 ; 120.000,00 ; 21.000,00 ;31/12/2019;30/6/2023;29/8/2023;Lote 6;Rio Grande do Norte;37840002;ZENAIDE MAIA;0;SIM;INDIVIDUAL;120000;120000
884245;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;ZENAIDE MAIA / EMENDA 2;000509/2019;21000.049113/2019-00;08.357.642/0001-54;MUNICIPIO DE JOSE DA PENHA;RN;Prestação de Contas em Análise;Prestação de Contas em Análise;Normal;sim;Aquisição de trator Agrícola.;MÁQUINAS E EQUIPAMENTOS; 171.133,33 ; 120.000,00 ; 51.133,33 ;31/12/2019;25/7/2022;23/9/2022;Lote 2;Rio Grande do Norte;37840002;ZENAIDE MAIA;0;SIM;INDIVIDUAL;120000;120000
884248;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;FATIMA BEZERRA / EMENDA 6;000526/2019;21000.049114/2019-46;08.095.473/0001-21;MUNICIPIO DE OURO BRANCO;RN;Prestação de Contas Iniciada Por Antecipação;Prestação de Contas Iniciada Por Antecipação;Normal;sim;Aquisição de um trator agrícola para o município de Ouro Branco/RN.;MÁQUINAS E EQUIPAMENTOS; 140.500,00 ; 140.000,00 ; 500,00 ;31/12/2019;30/4/2021;29/6/2021;NÃO;Rio Grande do Norte;38060006;FATIMA BEZERRA;0;SIM;INDIVIDUAL;140000;140000
884249;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;FATIMA BEZERRA / EMENDA 6;001371/2019;21000.049115/2019-91;08.096.083/0001-76;MUNICIPIO DE SAO JOSE DO SERIDO;RN;Prestação de Contas em Análise;Prestação de Contas em Análise;Normal;sim;AQUISIÇÃO DE TRATOR AGRÍCOLA.;MÁQUINAS E EQUIPAMENTOS; 141.300,00 ; 140.000,00 ; 1.300,00 ;31/12/2019;28/10/2021;27/12/2021;Lote 1;Rio Grande do Norte;38060006;FATIMA BEZERRA;0;SIM;INDIVIDUAL;140000;140000
884252;2019;CME;Convênio;6;405;D;DESPESA DISCRICIONARIA DECORRENTE DE EMENDA INDIVIDUAL;FATIMA BEZERRA / EMENDA 6;004099/2019;21000.049116/2019-35;08.109.126/0001-00;MUNICIPIO DE CURRAIS NOVOS;RN;Prestação de Contas enviada para Análise;Prestação de Contas enviada para Análise;Normal;sim;AQUISIÇÃO DE TRATOR AGRÍCOLA.;MÁQUINAS E EQUIPAMENTOS; 141.300,00 ; 140.000,00 ; 1.300,00 ;31/12/2019;30/9/2022;29/11/2022;Lote 6;Rio Grande do Norte;38060006;FATIMA BEZERRA;0;SIM;INDIVIDUAL;140000;140000
